unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
absorber_T2,absorber_T1,0.0,38.15600000000022,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,wash_water_pump_T1_1,0.0,40.61400000300022,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,wash_water_pump_T1_2,0.0,36.88600000300022,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,wash_water_cooler_T1,0.0,42.05000000300022,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,rich_pump_T1_1,0.0,46.21100000300022,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,rich_pump_T1_2,0.0,52.83900000300022,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,absorber_T2,0.0,,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,wash_water_pump_T2_1,73.0,11.614000000000004,847.8220000000003,,0.174,37851.86822068967,4555.891862068967,1640.1210703448285,
absorber_T2,wash_water_pump_T2_2,0.0,15.34200000000007,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,wash_water_cooler_T2,0.0,20.50600000000082,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,rich_pump_T2_1,57.0,17.001500000000004,969.0855000000003,,0.15,65496.71461200002,5802.951980000003,2089.062712800001,
absorber_T2,rich_pump_T2_2,0.0,23.839000000000013,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,absorber_T1,0.0,26.54200000000022,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,wash_water_pump_T1_1,0.0,29.000000003000217,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,wash_water_pump_T1_2,0.0,25.272000003000215,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,wash_water_cooler_T1,0.0,30.436000003000217,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,rich_pump_T1_1,0.0,34.59700000300022,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,rich_pump_T1_2,0.0,41.22500000300022,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,absorber_T2,0.0,11.614000000000004,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,wash_water_pump_T2_1,0.0,,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,wash_water_pump_T2_2,73.0,3.7280000000000655,272.1440000000048,,0.174,12150.14333793125,1462.4044137931294,526.4655889655266,
wash_water_pump_T2_1,wash_water_cooler_T2,0.0,8.89200000000028,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,rich_pump_T2_1,0.0,5.387499999999999,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_1,rich_pump_T2_2,0.0,12.225000000000009,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,absorber_T1,0.0,22.814000000000153,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,wash_water_pump_T1_1,0.0,32.72800000300028,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,wash_water_pump_T1_2,0.0,29.00000000300028,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,wash_water_cooler_T1,0.0,34.16400000300028,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,rich_pump_T1_1,0.0,38.325000003000284,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,rich_pump_T1_2,0.0,44.953000003000284,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,absorber_T2,0.0,15.34200000000007,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,wash_water_pump_T2_1,0.0,3.7280000000000655,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,wash_water_pump_T2_2,0.0,,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,wash_water_cooler_T2,73.0,5.164000000000214,376.9720000000156,,0.174,16830.295117242076,2025.712551724222,729.25651862072,
wash_water_pump_T2_2,rich_pump_T2_1,0.0,9.115500000000065,0.0,,0.0,0.0,0.0,0.0,
wash_water_pump_T2_2,rich_pump_T2_2,0.0,15.953000000000074,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,absorber_T1,0.0,17.64999999999994,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,wash_water_pump_T1_1,0.0,27.564000003000075,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,wash_water_pump_T1_2,0.0,23.836000003000073,0.0,,0.0,0.0,0.0,0.0,
