unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
compressor_interstage_cooler,cross_heat_exchanger,0.0,244.99999999999994,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,stripper,0.0,106.99999999999977,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,storage_tank,0.0,176.99999999999977,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,reclaimer,0.0,277.0,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,compressor_house,182.0,24.0,21840.0,,0.299,8010.060200668897,26969.899665551842,48545.81939799332,
compressor_interstage_cooler,compressor_KOdrum,0.0,50.0,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,compressor_interstage_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,TEG_dehydration,0.0,36.0,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,cooling_tower,0.0,117.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,coolingwater_pumphouse,0.0,56.999999999999545,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,direct_contact_cooler,0.0,137.0000000000004,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,absorber,0.0,208.0000000000001,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,lean_amine_cooler,0.0,261.0000000000004,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,cross_heat_exchanger,0.0,214.99999999999994,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,stripper,0.0,76.99999999999977,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,storage_tank,0.0,212.99999999999977,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,reclaimer,0.0,247.0,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,compressor_house,182.0,59.99999999999909,21839.99999999967,,0.299,20025.15050167194,67424.74916387859,48545.819397992585,
TEG_dehydration,compressor_KOdrum,0.0,86.0,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,compressor_interstage_cooler,0.0,36.0,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,TEG_dehydration,0.0,,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,cooling_tower,0.0,147.99999999999955,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,coolingwater_pumphouse,0.0,86.99999999999955,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,direct_contact_cooler,0.0,284.99999999999994,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,absorber,0.0,355.99999999999994,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,lean_amine_cooler,0.0,408.99999999999994,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,cross_heat_exchanger,0.0,362.9999999999995,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,stripper,0.0,224.99999999999955,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,storage_tank,0.0,284.99999999999955,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,reclaimer,0.0,394.99999999999955,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,compressor_house,0.0,141.99999999999955,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,compressor_KOdrum,0.0,167.99999999999955,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,compressor_interstage_cooler,0.0,117.99999999999955,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,TEG_dehydration,0.0,147.99999999999955,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,cooling_tower,0.0,,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,coolingwater_pumphouse,96.0,61.0,46848.0,,0.204,164205.9,26901.0,77474.88,
coolingwater_pumphouse,direct_contact_cooler,0.0,223.99999999999994,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,absorber,0.0,294.99999999999994,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,lean_amine_cooler,0.0,347.99999999999994,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,cross_heat_exchanger,0.0,301.9999999999995,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,stripper,0.0,163.99999999999955,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,storage_tank,0.0,223.99999999999955,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,reclaimer,0.0,333.99999999999955,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,compressor_house,0.0,80.99999999999955,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,compressor_KOdrum,0.0,106.99999999999955,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,compressor_interstage_cooler,0.0,56.999999999999545,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,TEG_dehydration,0.0,86.99999999999955,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,cooling_tower,0.0,61.0,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,coolingwater_pumphouse,0.0,,0.0,,0.0,0.0,0.0,0.0,
,,,,,228133.99999999919,,,,,
,,,,,,,,,,949743.8042972734
